Sample Date,Observers,Transect Number ,Plot Number,Genus,specific epithet,Common (0/1)
6/23/2011,,3,6,Polygonatum,biflorum,0
6/23/2011,,3,6,Maianthemum,racemosum,0
6/23/2011,,3,6,Ailanthus,altissima,0
6/23/2011,,3,6,Phytolacca,americana,0
6/23/2011,"WO, PR",3,7,Maianthemum,racemosum,0
6/23/2011,"WO, PR",3,7,Polygonum,virginianum,0
6/23/2011,"WO, PR",3,7,Polygonatum,biflorum,zero
6/23/2011,"WO, PR",3,7,Ampelopsis,brevipedunculata,0
6/23/2011,"WO, PR",3,7,Eurybia,divaricata,zero
6/23/2011,"WO, PR",3,7,Circea,lutetiana,
6/24/2011,"AC,WO, PK",3,8,Ailanthus,altissima,0
6/24/2011,"AC,WO, PK",3,8,Maianthemum,racemosum,0
6/24/2011,"AC,WO, PK",3,8,fungus,,0
6/24/2011,"AC,WO, PK",3,8,Phytolacca,americana,0
6/24/2011,"AC,WO, PK",3,8,Celastrus,orbiculatus,0
6/24/2011,"AC,WO, PK",3,8,Lindera,benzoin,0
6/24/2011,"AC,WO, PK",3,8,moss,,0
6/24/2011,"AC,WO, PK",3,8,Fraxinus,spp.,0
6/24/2011,"AC,WO, PK",3,9,Carya,cordiformis,0
6/24/2011,"AC,WO, PK",3,9,Rubus,enslenii,0
6/24/2011,"AC,WO, PK",3,9,Prunus,serotina,0
6/24/2011,"AC,WO, PK",3,9,fungus,,0
6/24/2011,"AC,WO, PK",3,9,moss,,0
6/24/2011,"AC,WO, PK",3,9,Ailanthus,altissima,0
6/24/2011,"AB, JS, PK",3,10,Liquidambar,styraciflua,0
6/24/2011,"AB, JS, PK",3,10,Malus,spp.,0
6/24/2011,"AB, PK",3,11,Toxicodendron,radicans,0
6/24/2011,"AB, PK",3,11,Hedera,helix,0
6/24/2011,"AB, PK",3,11,Polygonatum,biflorum,0
6/24/2011,"AC, JS",3,12,Maianthemum,racemosum,0
6/24/2011,"AC, JS",3,12,Eurybia,divaricata,
6/24/2011,"AC, JS",3,12,Euonymus,fortunei,0
6/24/2011,"AC, JS",3,12,Rosa,multiflora,0
6/24/2011,"AC, JS",3,12,Carya,cordiformis,0
6/24/2011,"AC, JS",3,12,Quercus,rubra,0
6/24/2011,"AC, JS",3,12,Toxicodendron,radicans,0
6/24/2011,"AC, JS",3,12,Sassafras,albidum,0
6/24/2011,"AL, JAS",3,13,Acer,saccharum,
6/24/2011,"AL, JAS",3,13,Euonymus,fortunei,
6/24/2011,"AL, JAS",3,13,Viola,sororia,
6/24/2011,"AL, JAS",3,13,fungus,,
6/24/2011,"AL, JAS",3,13,Acer,plantanoides,
6/24/2011,"AL, JAS",3,13,Alliaria,petiolata,
6/27/2011,KM,3,14,Fern,,
6/27/2011,KM,3,14,Rosa,multiflora,
6/27/2011,KM,3,14,Alliaria,petiolata,
6/27/2011,KM,3,14,Carpinus,caroliniana,
6/27/2011,KM,3,14,Celastrus,orbiculatus,
6/27/2011,KM,3,14,Acer,rubrum,
6/27/2011,KM,3,14,Prunus,spp.,
6/27/2011,KM,3,14,Ampelopsis,brevipedunculata,
6/27/2011,KM,3,14,Rubus,alleghaniensis,
6/27/2011,"KM, AB",3,15,Lonicera,maackii,
6/27/2011,"KM, AB",3,15,Impatiens,y,
6/27/2011,"KM, AB",3,15,Unknown,,
6/27/2011,"KM, AB",3,15,Phytolacca,americana,
6/27/2011,"KM, AB",3,15,Urtica,dioica,
6/27/2011,"KM, AB",3,15,Viola,,
6/27/2011,"KM, AB",5,1,Circea,lutetiana,0
6/27/2011,"KM, AB",5,1,Quercus,alba,0
6/27/2011,"KM, AB",5,1,Prunus,spp.,0
6/27/2011,"KM, AB",5,1,Maianthemum,racemosum,0
6/28/2011,"KM,PK",5,2,Phytolacca,americana,0
6/28/2011,"KM, PK",5,2,Quercus,rubra,0
6/28/2011,"KM, PK",5,2,Fraxinus,americana,0
6/28/2011,"KM, PK",5,2,Quercus,alba,0
6/28/2011,"WO, AB",5,3,Aralia,elata,0
6/28/2011,"WO, AB",5,3,Viburnum,acerifolium,0
6/28/2011,"WO, AB",5,3,Maianthemum,racemosum,0
6/28/2011,"WO, AB",5,3,Smilax,rotundifolia,0
6/28/2011,"KM, PK",5,4,Phellodendron,amurense,0
6/28/2011,,5,5,Acer,plantanoides,0
6/28/2011,,5,5,Prunus,serotina,0
6/28/2011,,5,5,Quercus,rubra,0
6/28/2011,,5,5,Betula,lenta,0
6/28/2011,,5,5,Rubus,alleghaniensis,0
6/28/2011,,5,5,Toxicodendron,radicans,0
6/28/2011,,5,5,Poaceae,spp.,0
6/28/2011,,5,5,Rubus,enslenii,0
6/28/2011,,5,5,Commelina,communis,0
6/28/2011,,5,5,Lindera,benzoin,0
6/29/2011,"PK, DG, WO",5,6,Quercus,rubra,0
6/29/2011,"PK, DG, WO",5,6,Prunus,serotina,0
6/29/2011,"PK, DG, WO",5,6,Ulmus,americana,0
6/29/2011,"PK, DG, WO",5,6,Morus,rubra,0
6/29/2011,"PK, DG, WO",5,6,Lindera,benzoin,0
6/29/2011,"PK, DG, WO",5,6,Quercus,alba,0
6/29/2011,"PK, DG, WO",5,6,Prunus,spp.,0
6/29/2011,"PK, DG, WO",5,6,Paulownia,tomentosa,0
6/29/2011,"PK, DG, WO",5,6,Carpinus,caroliniana,0
6/29/2011,"PK, DG, WO",5,7,Viburnum,dentatum,0
6/29/2011,"PK, DG, WO",5,7,Toxicodendron,radicans,1
6/29/2011,"LB, WO",5,8,Arisaema,triphyllum,0
6/29/2011,"LB, WO",5,8,Fraxinus,americana,0
6/29/2011,"LB, WO",5,8,Unknown,,0
6/29/2011,"LB, WO",5,8,Quercus,rubra,0
6/29/2011,"LB, WO",5,8,Cirsium,spp. ,0
6/29/2011,"LB, WO",5,8,Paulownia,tomentosa,0
6/29/2011,"WO,PK, DG",5,9,Quercus,alba,0
6/29/2011,"WO, PK, DG",5,9,Quercus,rubra,0
6/29/2011,"WO, PK, DG",5,9,Crataegus,spp.,0
6/29/2011,"WO, PK, DG",5,9,Hamamelis,virginiana,0
6/30/2011,"AG, PK",5,10,Polygonatum,biflorum,0
6/30/2011,"AG, PK",5,10,Phytolacca,americana,0
6/30/2011,"AB, PK, WO",5,11,Polygonum,virginianum,0
6/30/2011,"AB, PK, WO",5,11,Unknown,,0
6/30/2011,"AB, PK, WO",5,11,Aralia,elata,0
6/30/2011,"AB, PK, WO",5,11,Commelina,communis,0
6/30/2011,"AB, PK, WO",5,11,Hedera,helix,0
7/1/2011,"PK, DG ",5,12,Lindera,benzoin,0
7/1/2011,"PK, DG",5,12,Ampelopsis,brevipedunculata,0
7/1/2011,"AB, PK, DG",5,13,Reynoutria,japonica,0
7/1/2011,"AB, PK, DG",5,13,Unknown,,0
7/1/2011,"AB,PK, DG",5,13,Echinocystis,lobata,0
7/1/2011,DG,5,14,Liriodendron,tulipfera,0
7/1/2011,DG,5,14,Poaceae,spp.,0
7/1/2011,DG,5,14,Aralia,elata,0
7/1/2011,"DG, PK",5,15,Rosa,multiflora,0
7/1/2011,"DG, PK",5,15,Toxicodendron,radicans,0
7/1/2011,"DG, PK",5,15,Trifolium,spp.,0
7/1/2011,"DG, PK",5,15,Quercus,rubra,0
7/1/2011,"PR, AB",7,1,Quercus,rubra,0
7/1/2011,"PR, AB",7,1,Polygonatum,biflorum,0
7/1/2011,"PR, AB",7,1,Aralia,elata,0
7/1/2011,"PR, AB",7,1,Maianthemum,racemosum,0
7/1/2011,"PR, AB",7,1,Phytolacca,americana,0
7/1/2011,"PR, AB",7,1,Carya,spp. ,0
7/1/2011,"PR, AB",7,2,Solanum,spp.,0
7/1/2011,"PR, AB",7,2,Acer,plantanoides,0
7/1/2011,"PR, AB",7,2,Rubus,alleghaniensis,0
7/1/2011,"PR, AB",7,2,Viburnum,acerifolium,0
7/1/2011,"PR, AB",7,3,Lonicera,japonica,0
7/5/2011,"DAD, PK",7,4,Alliaria,petiolata,0
7/5/2011,"DAD, PK",7,4,Quercus,alba,0
7/5/2011,"DAD, PK",7,4,Ampelopsis,brevipedunculata,0
7/5/2011,"DAD, PK",7,4,Polygonatum,biflorum,0
7/5/2011,"DAD, PK",7,4,Maianthemum,racemosum,0
7/5/2011,"DAD, PK",7,4,Solanum,spp.,0
7/5/2011,"DAD, PK",7,5,Quercus,alba,0
7/5/2011,"DAD, PK",7,5,Circea,lutetiana,0
7/5/2011,"DG, WO",7,6,Sassafras,albidum,0
7/5/2011,"DG, WO",7,6,Viburnum,acerifolium,0
7/5/2011,"DG, WO",7,6,Maianthemum,racemosum,0
7/5/2011,"DG, WO",7,6,Liriodendron,tulipfera,0
7/5/2011,"DG, WO",7,6,moss,,0
7/5/2011,"LB, DD",7,7,Viburnum,dentatum,0
7/5/2011,"LB, DD",7,7,Polygonatum,biflorum,0
7/5/2011,"LB, DD",7,7,Acer,plantanoides,0
7/5/2011,"LB, DD",7,7,Viburnum,acerifolium,0
7/5/2011,"LB, DD",7,8,Viburnum,dentatum,0
7/5/2011,"LB, DD",7,8,Celastrus,orbiculatus,0
7/5/2011,"LB, DD",7,9,Polygonum,virginianum,0
7/5/2011,"LB, DD",7,9,Phytolacca,americana,0
7/5/2011,"LB, DD",7,9,Acer,plantanoides,0
7/5/2011,"LB, DD",7,9,Viburnum,acerifolium,0
7/5/2011,"LB, DD",7,9,Rubus,alleghaniensis,0
7/5/2011,"LB, DD",7,9,Viburnum,dilatatum,0
7/6/2011,"DG, PK",7,10,Viburnum,dentatum,0
7/6/2011,"DG, PK",7,10,Maianthemum,racemosum,0
7/6/2011,"DG, PK",7,10,Vitis,spp.,0
7/6/2011,"DG, PK, WO",7,11,Rubus,enslenii,0
7/6/2011,"DG,PK, WO",7,11,Maianthemum,racemosum,0
7/6/2011,"DG, PK, WO",7,11,Viburnum,dentatum,0
7/6/2011,"DG, PK, WO",7,11,Parthenocissus,quinquefolia,0
7/6/2011,"DG, PK, WO",7,11,Lonicera,japonica,0
7/6/2011,"AB, DG",7,12,Parthenocissus,quinquefolia,0
7/6/2011,"AB, DG",7,12,Polygonatum,biflorum,0
7/6/2011,"AB, DG",7,12,Viburnum,acerifolium,0
7/6/2011,"AB, DG",7,12,Commelina,communis,0
7/6/2011,"AB, DG",7,12,moss,,0
7/6/2011,"AB, DG",7,12,Lonicera,gracilipes,0
7/6/2011,"WO, PK",7,13,Maianthemum,racemosum,
7/6/2011,"WO, PK",7,13,Malus,spp.,
7/6/2011,"WO,PK",7,13,Eurybia,divaricata,
7/6/2011,"WO, PK",7,13,Ilex,opaca,
7/7/2011,"FG, DG",7,15,Maianthemum,racemosum,0
7/7/2011,"FG, DG",7,15,Alliaria,petiolata,0
7/7/2011,"AB, WO",7,16,Parthenocissus,quinquefolia,0
7/7/2011,"AB,WO",7,16,Viburnum,dentatum,0
7/7/2011,"AB, WO",7,16,Circea,lutetiana,0
7/7/2011,AB. WO,7,16,Maianthemum,racemosum,0
7/7/2011,"AB, WO",7,16,Aralia,elata,0
7/7/2011,"AB, WO",7,16,Fagus,grandifolia,0
7/7/2011,AB. WO,7,16,Smilax,rotundifolia,0
7/7/2011,"AB,WO",7,17,Aralia,elata,0
7/7/2011,"AB, WO",7,17,Alliaria,petiolata,0
7/7/2011,"AB, WO",7,17,Fraxinus,americana,0
7/7/2011,AB. WO,7,17,Toxicodendron,radicans,0
7/7/2011,"AB,WO",7,17,Phytolacca,americana,0
7/7/2011,"AB, WO",7,17,Commelina,communis,0
7/7/2011,"AB, WO",7,17,Phellodendron,amurense,0
7/7/2011,"AB, WO",7,17,Prunus,serotina,0
7/7/2011,"AB, DG",9,1,Solidago,spp.,0
7/7/2011,"AB, DG",9,1,Celastrus,orbiculatus,0
7/7/2011,"AB, DG",9,1,Alliaria,petiolata,1
7/7/2011,"AB, DG",9,1,Commelina,communis,0
7/7/2011,"AB, DG",9,1,Circea,lutetiana,0
7/7/2011,"AB, DG",9,1,Toxicodendron,radicans,0
7/11/2011,"WO, DK",9,2,Maianthemum,racemosum,0
7/11/2011,"WO, DK",9,2,Carya,cordiformis,0
7/11/2011,"WO, DK",9,2,Polygonatum,biflorum,0
7/11/2011,"WO, DK",9,2,Acer ,rubrum,0
7/11/2011,"WO, DK",9,2,Quercus,alba,0
7/11/2011,"DG, JS",9,3,Quercus,alba,1
7/11/2011,"DG, JS",9,3,Quercus,rubra,0
7/11/2011,"DG, JS",9,3,Liquidambar,styraciflua,0
7/11/2011,"DG, JS",9,3,Polygonatum,biflorum,0
7/11/2011,"AB, JS",9,4,Phytolacca,americana,0
7/11/2011,"AB, JS",9,4,Trifolium,spp.,0
7/11/2011,"AB, JS",9,4,Carex,cumulata,0
7/11/2011,"AB, JS",9,4,Urtica,dioica,0
7/11/2011,"AB, JS",9,4,Toxicodendron,radicans,0
7/11/2011,"AB, JS",9,4,Prunus,spp.,0
7/11/2011,"KM, HC",9,5,Quercus,velutina,0
7/11/2011,"KM, HC",9,5,Carya,cordiformis,1
7/11/2011,"KM, HC",9,5,Ulmus,parviflora,1
7/11/2011,"KM, HC",9,5,Alliaria,petiolata,0
7/11/2011,"KM,HC",9,5,Circea,lutetiana,0
7/11/2011,"KM,HC",9,5,Cornus,florida,0
7/11/2011,"KM,HC",9,5,Carpinus,caroliniana,0
7/11/2011,"KM, HC",9,5,Polygonatum,biflorum,0
7/11/2011,AB,9,6,Aralia,elata,0
7/11/2011,AB,9,6,Ailanthus,altissima,0
7/11/2011,PK,9,7,Maianthemum,racemosum,0
7/11/2011,"KM, HC, WO",9,8,Phellodendron,amurense,0
7/11/2011,"KM, HC, WO",9,8,Commelina,communis,0
7/11/2011,"KM, HC, WO",9,8,Crataegus,spp.,0
7/11/2011,DK,9,8,Carex,spp. ,0
7/11/2011,DK,9,8,Maianthemum,racemosum,0
7/11/2011,DK,9,8,Smilax,rotundifolia,0
7/12/2011,"DR, PK",9,9,Carya,cordiformis,0
7/12/2011,"DR, PK",9,9,Frangula,alnus,0
7/12/2011,"DR, PK",9,9,Quercus,velutina,0
7/12/2011,"DR, PK",9,9,Phellodendron,amurense,1
7/12/2011,"DR, PK",9,9,Quercus,rubra,0
7/12/2011,"PK, AH",9,10,Frangula,alnus,0
7/12/2011,"PK, AH",9,10,Viburnum,dilatatum,0
7/12/2011,"PK, DG",9,11,Rubus,phoenichalculus,0
7/12/2011,"PK, DG",9,11,Phellodendron,amurense,0
7/12/2011,"PK, DG",9,11,Quercus,rubra,0
7/13/2011,"DG, AM, AC",9,12,moss,,1
7/13/2011,"DG, AM, AC",9,12,Poaceae,spp.,0
7/13/2011,"DG, AM, AC",9,12,Parthenocissus,quinquefolia,1
7/13/2011,"DG, AM, AC",9,12,Smilax,rotundifolia,1
7/13/2011,"DG, AM, AC",9,12,Maianthemum,canadense,1
7/13/2011,"DG, AM, AC",9,12,Viburnum,dilatatum,0
7/13/2011,"DG, AM, AC",9,12,Quercus,rubra,1
7/13/2011,"DG, AM, AC",9,12,Hydrangea,paniculata,0
7/13/2011,"DG, AM, AC",9,12,Frangula,alnus,1
7/13/2011,"DG, AM, AC",9,12,Toxicodendron,radicans,1
7/13/2011,"DG, AM, AC",9,12,Celastrus,orbiculatus,0
7/13/2011,"BM, AH",9,13,Maianthemum,racemosum,0
7/13/2011,"BM, AH",9,13,Commelina,communis,1
7/13/2011,"BM, AH",9,13,Rosa,multiflora,1
7/13/2011,"BM, AH",9,13,Ailanthus,altissima,1
7/13/2011,"BM, AH",9,13,Toxicodendron,radicans,0
7/13/2011,"BM, AH",9,13,Nyssa,sylvatica,0
7/13/2011,"BM, AH",9,13,Quercus,rubra,0
7/13/2011,"AC, AM",9,14,Solanum,dulcamaria,1
7/13/2011,"AC, AM",9,14,Smilax,rotundifolia,1
7/13/2011,"AC, AM",9,14,Lindera,benzoin,0
7/13/2011,"AC, AM",9,14,Parthenocissus,quinquefolia,1
7/13/2011,"AC, AM",9,14,Quercus,rubra,1
7/13/2011,AB,9,15,Rubus,enslenii,0
7/13/2011,AB,9,15,Fern,,1
7/13/2011,AB,9,15,Rubus,alleghaniensis,1
7/13/2011,AB,9,15,Quercus,rubra x velutina,0
7/13/2011,AB,9,16,Quercus,rubra x velutina,1
7/13/2011,"JS, DG",9,17,Alliaria,petiolata,0
7/13/2011,"JS, DG",9,17,Aralia,elata,0
7/13/2011,"JS, DG",9,17,Phellodendron,amurense,0
7/13/2011,"JS, DG",9,17,Eurybia,divaricata,0
7/13/2011,"JS, DG",9,17,Paulownia,tomentosa,0
7/13/2011,"JS, DG",9,17,Euonymus,fortunei,0
7/13/2011,"JS, DG",9,17,Toxicodendron,radicans,0
7/13/2011,"JS, DG",9,17,Maianthemum,racemosum,0
7/13/2011,"JS, DG",9,17,Ampelopsis,brevipedunculata,0
7/13/2011,"JS, DG",9,17,Liriodendron,tulipfera,0
7/13/2011,"JS, DG",9,17,Frangula,alnus,0
7/13/2011,DG,9,18,Reynoutria,japonica,0
7/13/2011,DG,9,18,Eurybia,divaricata,0
7/13/2011,DG,9,18,Phellodendron,amurense,0
7/13/2011,DG,9,19,Solidago,spp.,
7/13/2011,DG,9,19,Acer,rubrum,
7/13/2011,DG,9,19,Viburnum,plicatum var. tomentosa,
7/14/2011,"AB, AH",11,1,Toxicodendron,radicans,0
7/14/2011,"AB, AH",11,1,Polygonum,virginianum,0
7/14/2011,AB. AH,11,1,Circea,lutetiana,0
7/14/2011,"AB, AH",11,1,Impatiens,capensis,0
7/14/2011,"AB, AH",11,1,Alliaria,petiolata,1
7/15/2011,"AC, KM, DK",11,2,Lonicera,japonica,0
7/15/2011,"AC, KM, DK",11,2,Alliaria,petiolata,0
7/15/2011,"AC, KM, DK",11,2,Commelina,communis,0
7/15/2011,"AC, KM, DK",11,2,Quercus,rubra,0
7/14/2011,"AB, AH",11,3,Maianthemum,racemosum,0
7/14/2011,"AB, AH",11,3,Phellodendron,amurense,1
7/14/2011,"AB, AH",11,3,Toxicodendron,radicans,0
7/14/2011,"AB, AH",11,3,Alliaria,petiolata,1
7/15/2011,"AB, BM",11,4,Hedera,helix,0
7/15/2011,"AB, BM",11,4,Aralia,elata,
7/15/2011,"AB, BM",11,4,Polygonum,virginianum,
7/15/2011,"AB, BM",11,4,Parthenocissus,quinquefolia,0
7/15/2011,"AC, AM",11,5,Polygonum,virginianum,0
7/15/2011,"AC, AM",11,5,Euonymus,fortunei,0
7/15/2011,"AC, AM",11,5,Poaceae,spp.,1
7/15/2011,"AC, AM",11,5,Amelanchier,spp.,0
7/15/2011,"AC, AM",11,5,Ulmus,parviflora,0
7/15/2011,"AC, Am",11,5,Quercus,velutina,0
7/15/2011,"AC, AM",11,5,Parthenocissus,quinquefolia,1
7/15/2011,"AC, AM",11,5,Carya,spp. ,1
7/15/2011,"AC, AM",11,5,Liquidambar,styraciflua,0
7/15/2011,"AC, AM",11,5,Quercus,rubra,0
7/15/2011,"AC, AM",11,5,Ostrya,virginiana,0
7/15/2011,"AC, AM, JC",11,6,Polygonatum,biflorum,1
7/15/2011,"AC, AM, JC",11,6,Reynoutria,japonica,0
7/15/2011,"AC, AM, JC",11,6,Euonymus,fortunei,0
7/15/2011,"AL, AM, JC",11,7,Polygonatum,biflorum,1
7/15/2011,"AL, AM, JC",11,7,Reynoutria,japonica,0
7/15/2011,"AL, AM, JC",11,7,Euonymus,fortunei,0
7/18/2011,AH,11,8,Maianthemum,racemosum,1
7/18/2011,AH,11,8,Poaceae,spp.,0
7/18/2011,AH,11,8,Reynoutria,japonica,0
7/19/2011,AB,11,9,Rubus,alleghaniensis,1
7/19/2011,AB,11,9,Toxicodendron,radicans,1
7/19/2011,AB,11,9,Parthenocissus,quinquefolia,0
7/19/2011,AB,11,9,Ailanthus,altissima,0
7/18/2011,AB,11,10,Toxicodendron,radicans,1
7/18/2011,AB,11,11,Eurybia,divaricata,1
7/18/2011,AB,11,11,Poaceae,spp.,0
7/18/2011,AB,11,12,Toxicodendron,radicans,1
7/18/2011,AB,11,12,Frangula,alnus,1
7/18/2011,AB,11,12,Commelina,communis,1
7/18/2011,AB,11,12,Aralia,elata,0
7/18/2011,AB,11,12,Betula,lenta,0
7/18/2011,AC,11,13,Phytolacca,americana,0
7/18/2011,AC,11,13,Ilex,crenata,0
7/18/2011,AC,11,13,Quercus,rubra,0
7/18/2011,AC,11,13,Acer ,rubrum,0
7/18/2011,AC,11,13,Viburnum,dilatatum,0
7/19/2011,AC,11,14,Maianthemum,racemosum,1
7/19/2011,AC,11,14,Polygonum,virginianum,1
7/19/2011,AC,11,14,Rubus,alleghaniensis,0
7/19/2011,AC,11,14,Phytolacca,americana,0
7/19/2011,AC,11,14,Solidago,spp.,0
7/19/2011,AC,11,14,Frangula,alnus,1
7/19/2011,AC,11,14,Ilex,crenata,0
7/19/2011,AC,11,14,Quercus,rubra,0
7/19/2011,AC,11,14,Sassafras,albidum,0
7/19/2011,AC,11,14,Aralia,elata,0
7/19/2011,AC,11,14,Viburnum,dilatatum,0
7/19/2011,"KM, PK, AH",11,15,Ilex,opaca,0
7/19/2011,"KM, PK, AH",11,15,Acer,rubrum,0
7/19/2011,"KM, PK, AH",11,15,Liquidambar,styraciflua,0
7/19/2011,"DG, AB",11,16,Maianthemum,racemosum,0
7/19/2011,"DG, AB",11,16,Poaceae,spp.,0
7/19/2011,"DG, AB",11,16,Polygonum,virginianum,0
7/19/2011,"DG, AB",11,16,Impatiens,capensis,0
7/19/2011,"DG, AB",11,16,Sassafras,albidum,0
7/19/2011,"DG, AB",11,16,Acer,saccharum,0
7/19/2011,"DG, AB",11,17,Toxicodendron,radicans,0
7/19/2011,"DG, AB",11,17,Liriodendron,tulipfera,0
7/19/2011,"DG, AB",11,17,Ailanthus,altissima,0
7/19/2011,"DG, AB",11,17,Quercus,alba,0
7/19/2011,"DG, AB",11,17,Smilax,rotundifolia,0
7/19/2011,"DG, AB",11,17,Arisaema,triphyllum,0
7/19/2011,"DG, AB",11,17,Acer,rubrum,0
7/19/2011,"DG, AB",11,17,Aralia,elata,0
7/19/2011,"DG, AB",11,17,Ampelopsis,brevipedunculata,0
7/19/2011,AB,11,18,moss,,0
7/19/2011,AB,11,18,Poaceae,spp.,0
7/19/2011,AB,11,18,Toxicodendron,radicans,0
7/19/2011,AB,11,18,Liriodendron,tulipfera,0
7/19/2011,AB,11,18,Liquidambar,styraciflua,0
7/19/2011,AH,11,19,Fraxinus,americana,0
7/19/2011,AH,11,19,Maianthemum,racemosum,0
7/19/2011,AH,11,19,Polygonatum,biflorum,0
7/19/2011,AH,11,20,Quercus,velutina,0
7/19/2011,AH,11,21,Lindera,benzoin,1
7/19/2011,AH,11,21,Parthenocissus,quinquefolia,0
7/19/2011,AH,11,22,Rubus,enslenii,0
7/19/2011,AH,11,22,Rosa,multiflora,0
7/19/2011,AH,11,22,Solidago,spp.,0
7/19/2011,AH,11,22,Maianthemum,racemosum,0
7/19/2011,AH,11,22,Quercus,alba,0
7/19/2011,AH,11,22,Reynoutria,japonica,0
7/19/2011,"DG, PK",11,23,Aralia,elata,0
7/19/2011,"DG, PK",11,23,Viburnum,dilatatum,0
7/19/2011,"DG,PK",11,23,Toxicodendron,radicans,0
7/19/2011,AH,11,24,Quercus,velutina,0
7/19/2011,AH,11,24,Eurybia,divaricata,0
7/19/2011,AH,11,24,Toxicodendron,radicans,0
7/19/2011,AH,11,24,Sassafras,albidum,0
7/19/2011,AH,11,25,Quercus,rubra x velutina,0
7/19/2011,AH,11,25,Toxicodendron,radicans,0
7/19/2011,AH,11,25,Aralia,elata,0
7/19/2011,AH,11,25,Smilax,rotundifolia,0
7/19/2011,AH,11,25,Reynoutria,japonica,0
7/20/2011,AH,11,26,Reynoutria,japonica,0
7/20/2011,AH,11,26,Quercus,rubra x velutina,0
7/20/2011,AH,11,26,Maianthemum,canadense,1
7/20/2011,AH,11,26,Toxicodendron,radicans,0
7/20/2011,AH,11,26,Eurybia,divaricata,0
7/20/2011,DK,13,1,Fraxinus,americana,0
7/20/2011,DK,13,1,Nyssa,sylvatica,0
7/20/2011,DK,13,1,Cornus,florida,0
7/20/2011,DK,13,4,Maianthemum,racemosum,0
7/20/2011,DK,13,4,Lonicera,japonica,0
7/20/2011,DK,13,4,Lonicera,maackii,0
7/20/2011,DK,13,4,Toxicodendron,radicans,0
7/20/2011,DK,13,4,Quercus,velutina,0
7/20/2011,DK,13,4,Viburnum,acerifolium,0
7/20/2011,DK,13,5,Sambucus,nigra,0
7/20/2011,DK,13,2,Polygonum,virginianum,0
7/20/2011,DK,13,2,Maianthemum,racemosum,0
7/20/2011,DK,13,2,Viburnum,prunifolium,1
7/20/2011,DK,13,3,Maianthemum,racemosum,1
7/20/2011,DK,13,3,Ampelopsis,brevipedunculata,0
7/20/2011,DK,13,3,Solanum,spp.,1
7/20/2011,DK,13,3,Celastrus,orbiculatus,0
7/20/2011,DK,13,3,Aralia,elata,0
7/20/2011,DK,13,3,moss,,0
7/20/2011,DK,13,3,Morus,rubra,0
7/20/2011,DK,13,3,Viburnum,prunifolium,0
